epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,262.887,0.89524,1.70999,1.99205,1.06973,0,0.54615,0.62709,0.62087,0.49128,0.54458,0.62508,0.61721,0.46249,0.78647,1.4113,1.43658,1.04808,0,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576
2,489.891,0.72697,1.19054,0.99976,0.95548,0,0.74318,0.76486,0.81725,0.66597,0.74828,0.75439,0.81503,0.64422,0.66727,1.1375,0.8782,0.94733,0,0.0198125,0.00660415,0.0198125,0.00660415,0.0198125,0.00660415,0.0198125,0.00660415
3,711.861,0.72064,1.1245,0.87578,0.94474,0,0.75443,0.77622,0.82782,0.67242,0.75377,0.77545,0.82539,0.64296,0.69107,1.19039,0.91797,0.97543,0,0.0294826,0.00982755,0.0294826,0.00982755,0.0294826,0.00982755,0.0294826,0.00982755
4,931.15,0.70951,1.08754,0.81059,0.9406,0,0.78957,0.8872,0.88184,0.74877,0.78903,0.88537,0.87872,0.71571,0.57295,0.95122,0.64073,0.91142,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,1149.67,0.68912,1.05967,0.74388,0.92865,0,0.84893,0.88874,0.90907,0.76701,0.84737,0.88701,0.90696,0.73434,0.57847,1.0034,0.56084,0.90345,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,1367.54,0.66671,1.0125,0.70211,0.92499,0,0.84927,0.87852,0.90789,0.763,0.84813,0.87721,0.90642,0.73115,0.61291,1.07192,0.60651,0.92956,0,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,1587.58,0.6513,0.98619,0.65464,0.91738,0,0.84097,0.9394,0.91322,0.77689,0.83914,0.93739,0.91134,0.74607,0.56045,0.92339,0.51121,0.89627,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,1805.34,0.63348,0.96295,0.62609,0.91332,0,0.85099,0.95392,0.92715,0.79665,0.85233,0.9551,0.92773,0.75985,0.53434,0.87198,0.46036,0.88338,0,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,2024.69,0.635,0.97883,0.61867,0.91504,0,0.89652,0.9249,0.93523,0.80942,0.89542,0.92371,0.93376,0.77662,0.53127,0.85144,0.43132,0.88528,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,2242.32,0.62095,0.9389,0.60002,0.90776,0,0.86469,0.97083,0.93591,0.81177,0.86244,0.96831,0.93479,0.77643,0.52893,0.85069,0.4318,0.88161,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,2458.94,0.61075,0.92927,0.5885,0.90899,0,0.88857,0.95347,0.93312,0.8115,0.88773,0.95262,0.93257,0.77788,0.52271,0.85218,0.41151,0.87415,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,2678.84,0.60105,0.91554,0.56857,0.90386,0,0.89545,0.97413,0.93745,0.81595,0.89511,0.9738,0.93725,0.77748,0.52784,0.85819,0.3977,0.87671,0,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,2901.15,0.59871,0.9044,0.55349,0.90092,0,0.88405,0.96233,0.93533,0.81714,0.88405,0.96233,0.93567,0.77503,0.51136,0.83288,0.4198,0.87548,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,3119.97,0.59168,0.896,0.54502,0.90144,0,0.88875,0.96401,0.93522,0.814,0.88875,0.96401,0.93522,0.77711,0.50855,0.82591,0.39976,0.87915,0,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,3341.18,0.58249,0.89392,0.53132,0.89676,0,0.89409,0.97323,0.93306,0.82274,0.89409,0.97323,0.93301,0.7789,0.49225,0.82184,0.39417,0.86707,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,3557.71,0.57746,0.88092,0.52085,0.89302,0,0.8987,0.95432,0.93915,0.82613,0.89891,0.95459,0.93947,0.78679,0.50069,0.8356,0.38499,0.86734,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,3775.64,0.5706,0.86712,0.5226,0.8942,0,0.9191,0.96469,0.94296,0.83626,0.9175,0.96308,0.94183,0.79451,0.48448,0.80764,0.3635,0.86007,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,3994.98,0.57095,0.86455,0.52043,0.89085,0,0.89797,0.97562,0.94005,0.8299,0.89722,0.97486,0.93935,0.7865,0.48914,0.82642,0.37175,0.86475,0,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,4215.66,0.56631,0.8586,0.50477,0.89158,0,0.89754,0.97687,0.94264,0.83381,0.89754,0.97687,0.94264,0.79904,0.49504,0.81338,0.36268,0.86828,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,4434.55,0.56233,0.85246,0.50053,0.8926,0,0.89713,0.97634,0.93763,0.83121,0.89709,0.97619,0.93724,0.79455,0.48958,0.81037,0.35932,0.86377,0,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,4650.99,0.55779,0.85877,0.49534,0.88749,0,0.91012,0.95453,0.94332,0.83466,0.90964,0.95409,0.94313,0.79506,0.49786,0.82529,0.35914,0.86783,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,4870.2,0.55373,0.85398,0.48825,0.88891,0,0.90969,0.98158,0.94145,0.83659,0.91044,0.98238,0.94245,0.79813,0.48082,0.80304,0.3427,0.86066,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,5086.88,0.55115,0.83976,0.48739,0.89049,0,0.90576,0.97612,0.94449,0.8413,0.90576,0.97612,0.94439,0.80197,0.48424,0.81013,0.34499,0.86309,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,5303.61,0.55107,0.83216,0.48674,0.88249,0,0.91149,0.98816,0.94117,0.83656,0.91149,0.98816,0.94131,0.79834,0.48706,0.7933,0.32817,0.86495,0,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,5521.35,0.54488,0.82008,0.46818,0.8826,0,0.91374,0.96303,0.94472,0.84607,0.91439,0.96373,0.94536,0.79846,0.46839,0.80564,0.33044,0.85845,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,5740.73,0.54123,0.82308,0.46049,0.88242,0,0.90767,0.9807,0.94603,0.84625,0.90725,0.98027,0.94581,0.80758,0.47016,0.79582,0.32868,0.85547,0,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,5959.93,0.54105,0.83226,0.46243,0.87996,0,0.90407,0.98325,0.94029,0.84296,0.90364,0.98282,0.94003,0.79983,0.46845,0.79168,0.33423,0.85545,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,6181.58,0.53988,0.82669,0.46489,0.88045,0,0.90932,0.98318,0.94291,0.84581,0.90823,0.98189,0.9416,0.80392,0.47185,0.78953,0.32323,0.86413,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,6402.21,0.53059,0.81375,0.44961,0.87706,0,0.91558,0.97771,0.93826,0.84246,0.91515,0.97728,0.93793,0.80064,0.46663,0.7908,0.32712,0.85109,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,6621.45,0.52549,0.80864,0.45008,0.87304,0,0.90699,0.98146,0.93905,0.84232,0.90699,0.98146,0.93905,0.79946,0.46512,0.78615,0.32704,0.85402,0,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,6841.7,0.52349,0.79579,0.44438,0.87462,0,0.91386,0.98592,0.94267,0.85118,0.91158,0.9836,0.94099,0.80846,0.45056,0.78268,0.31405,0.84788,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,7060.41,0.52053,0.80246,0.43884,0.87493,0,0.91575,0.97214,0.9409,0.84308,0.91542,0.97181,0.94063,0.80159,0.46127,0.78358,0.31535,0.85459,0,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,7280.63,0.51234,0.7871,0.42824,0.87111,0,0.91336,0.96926,0.94193,0.84065,0.91336,0.96926,0.94189,0.80447,0.48181,0.79738,0.32205,0.86035,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
